"price.open","price.high","price.low","price.close","volume","price.adjusted","ref.date","ticker","ret.adjusted.prices","ret.closing.prices"
2504.280029,2507.889893,2483.47998,2483.47998,236950300,2483.47998,2020-10-28,"^STI",-0.011695844047478,-0.011695844047478
2471.100098,2472.919922,2450.679932,2450.679932,276975900,2450.679932,2020-10-29,"^STI",-0.0132072930984529,-0.0132072930984529
2439.780029,2447.850098,2420.840088,2423.840088,397979300,2423.840088,2020-10-30,"^STI",-0.0109519989328415,-0.0109519989328415
2428.97998,2449.02002,2423.699951,2443.129883,282262600,2443.129883,2020-11-02,"^STI",0.00795836123657678,0.00795836123657678
2453.290039,2497.219971,2453.26001,2497.219971,294810100,2497.219971,2020-11-03,"^STI",0.0221396694364775,0.0221396694364775
2502.179932,2521.139893,2489.719971,2515.97998,297790000,2515.97998,2020-11-04,"^STI",0.00751235742860401,0.00751235742860401
2543.909912,2588.620117,2541.76001,2588.620117,409626000,2588.620117,2020-11-05,"^STI",0.0288715083496014,0.0288715083496014
2591.959961,2591.959961,2562.860107,2578.679932,259721500,2578.679932,2020-11-06,"^STI",-0.00383995509218238,-0.00383995509218238
2600.959961,2622.97998,2600.669922,2609.360107,234278200,2609.360107,2020-11-09,"^STI",0.0118976281698537,0.0118976281698537
2672.97998,2705,2662.320068,2705,687150900,2705,2020-11-10,"^STI",0.03665262327857,0.03665262327857
2698.689941,2713.280029,2673.889893,2713.280029,465058000,2713.280029,2020-11-11,"^STI",0.00306100887245853,0.00306100887245853
2710.709961,2725.469971,2695.889893,2711.899902,347342900,2711.899902,2020-11-12,"^STI",-0.000508656307218192,-0.000508656307218192
2700.719971,2715.919922,2685.810059,2711.389893,350637300,2711.389893,2020-11-13,"^STI",-0.000188063357214552,-0.000188063357214552
2731.560059,2753.439941,2724.929932,2748,370874400,2748,2020-11-16,"^STI",0.0135023395545275,0.0135023395545275
2764.129883,2781.580078,2764.129883,2778.550049,416724300,2778.550049,2020-11-17,"^STI",0.0111171939592432,0.0111171939592432
2774.780029,2795.669922,2774.780029,2788.590088,364406700,2788.590088,2020-11-18,"^STI",0.0036134094484328,0.0036134094484328
2782.219971,2795.060059,2766.550049,2777,390560200,2777,2020-11-19,"^STI",-0.00415625374624795,-0.00415625374624795
2780.77002,2814.129883,2779.209961,2813.01001,310379100,2813.01001,2020-11-20,"^STI",0.0129672344256391,0.0129672344256391
2828.320068,2852.27002,2825.830078,2848.780029,307802200,2848.780029,2020-11-23,"^STI",0.0127159231118414,0.0127159231118414
2866.120117,2891.629883,2864.419922,2891.629883,412882900,2891.629883,2020-11-24,"^STI",0.0150414751450787,0.0150414751450787
2903.159912,2920.550049,2858.360107,2869.550049,482796600,2869.550049,2020-11-25,"^STI",-0.00763577459543086,-0.00763577459543086
2856.370117,2857.47998,2839.800049,2857.47998,246451300,2857.47998,2020-11-26,"^STI",-0.00420625840075739,-0.00420625840075739
2846.949951,2866.340088,2845.159912,2855.820068,227818600,2855.820068,2020-11-27,"^STI",-0.000580900657788708,-0.000580900657788708
2869.889893,2869.889893,2797.189941,2805.949951,959533300,2805.949951,2020-11-30,"^STI",-0.0174626257301025,-0.0174626257301025
2802.939941,2824.540039,2793.219971,2814.120117,322810700,2814.120117,2020-12-01,"^STI",0.00291172905528425,0.00291172905528425
2805.5,2817.330078,2796.709961,2810.949951,260967600,2810.949951,2020-12-02,"^STI",-0.00112652121025292,-0.00112652121025292
2809.73999,2822.399902,2792.73999,2822.340088,274284800,2822.340088,2020-12-03,"^STI",0.0040520596946052,0.0040520596946052
2825.560059,2841.459961,2819.530029,2839.889893,273192900,2839.889893,2020-12-04,"^STI",0.00621817514998213,0.00621817514998213
2842.580078,2853.22998,2824.22998,2825.51001,370226900,2825.51001,2020-12-07,"^STI",-0.00506353539813109,-0.00506353539813109
2820.98999,2829.51001,2817.27002,2825.629883,253678100,2825.629883,2020-12-08,"^STI",4.24252611301856e-05,4.24252611301856e-05
2825.719971,2849.159912,2825.320068,2843.070068,285016300,2843.070068,2020-12-09,"^STI",0.00617214062780347,0.00617214062780347
2833.169922,2834.790039,2820.050049,2824.959961,333477300,2824.959961,2020-12-10,"^STI",-0.0063699123014368,-0.0063699123014368
2836.879883,2848.969971,2818.350098,2821.699951,290440600,2821.699951,2020-12-11,"^STI",-0.00115400219649342,-0.00115400219649342
2836.300049,2870.439941,2835.219971,2858.139893,302651900,2858.139893,2020-12-14,"^STI",0.0129141803284527,0.0129141803284527
2863.100098,2863.969971,2841.51001,2856.719971,276181700,2856.719971,2020-12-15,"^STI",-0.000496799335637066,-0.000496799335637066
2866.120117,2875.47998,2862.429932,2872.800049,291312500,2872.800049,2020-12-16,"^STI",0.00562886042847643,0.00562886042847643
2866.969971,2867.110107,2849.429932,2858.02002,284079500,2858.02002,2020-12-17,"^STI",-0.0051448164675244,-0.0051448164675244
2858.449951,2862.929932,2845.550049,2848.97998,337801200,2848.97998,2020-12-18,"^STI",-0.00316304292368108,-0.00316304292368108
2847.189941,2854.610107,2831.399902,2846.52002,237415700,2846.52002,2020-12-21,"^STI",-0.000863452890953686,-0.000863452890953686
2842.449951,2844.820068,2803.969971,2827.320068,298700400,2827.320068,2020-12-22,"^STI",-0.00674506129066321,-0.00674506129066321
2817.870117,2838.449951,2805.23999,2833.399902,198717900,2833.399902,2020-12-23,"^STI",0.00215038759453257,0.00215038759453257
2840.649902,2847.800049,2834.139893,2842.040039,88567800,2842.040039,2020-12-24,"^STI",0.00304938847280289,0.00304938847280289
2845.850098,2851.820068,2834.580078,2840.139893,146870400,2840.139893,2020-12-28,"^STI",-0.000668585232412311,-0.000668585232412311
2848.649902,2852.649902,2840.379883,2848.139893,107385800,2848.139893,2020-12-29,"^STI",0.00281676266007791,0.00281676266007791
2855.060059,2878.129883,2846.219971,2869.219971,177736200,2869.219971,2020-12-30,"^STI",0.00740134922859981,0.00740134922859981
2853.600098,2861.610107,2843.810059,2843.810059,105602500,2843.810059,2020-12-31,"^STI",-0.00885603483065955,-0.00885603483065955
2846.199951,2861.209961,2836.25,2858.899902,172333900,2858.899902,2021-01-04,"^STI",0.00530620635237034,0.00530620635237034
2842.060059,2859.679932,2832.040039,2859.679932,229983500,2859.679932,2021-01-05,"^STI",0.000272842711091181,0.000272842711091181
2858.530029,2865.040039,2852.320068,2863.01001,257536900,2863.01001,2021-01-06,"^STI",0.00116449325770218,0.00116449325770218
2892.330078,2912.699951,2884.179932,2906.969971,361145500,2906.969971,2021-01-07,"^STI",0.0153544559210257,0.0153544559210257
